order_id,customer_id,roll_id,not_include_items,extra_items_included,order_date
1,101,1,,,"2021-01-01 18:05:02"
2,101,1,,,"2021-01-01 19:00:52"
3,102,1,,,"2021-02-01 23:51:23"
3,102,2,,NaN,"2021-02-01 23:51:23"
4,103,1,4,,"2021-04-01 13:23:46"
4,103,1,4,,"2021-04-01 13:23:46"
4,103,2,4,,"2021-04-01 13:23:46"
5,104,1,NULL,1,"2021-08-01 21:00:29"
6,101,2,NULL,NULL,"2021-08-01 21:03:13"
7,105,2,NULL,1,"2021-08-01 21:20:29"
8,102,1,NULL,NULL,"2021-09-01 23:54:33"
9,103,1,4,"1,5","2021-10-01 11:22:59"
10,104,1,NULL,NULL,"2021-11-01 18:34:49"
10,104,1,"2,6","1,4","2021-11-01 18:34:49"
